,index,County,GeoName,Mother.s.Hispanic.Origin,Year,Births,Total.Population,Birth.Rate,Female.Population,Fertility.Rate,Average.Birth.Weight,Average.Age.of.Mother,Average.LMP.Gestational.Age,lat,long,Precipitation,Temperature,PI,GDP,mrate,trate,GDP_per,female.proportion,Elder_pop,RUCC,bachelor_percentage,Crude.Marriage.Rate
11198,"Randolph County, NC, 2012","Randolph County, NC","Randolph, NC",3,2012,NA,NA,NA,NA,NA,3062,23,37,35.7103,-79.806,38.8,61.3,31594,3794233,NA,NA,NA,NA,0.098956944,2,13.6,4.618645852
11199,"Randolph County, NC, 2012","Randolph County, NC","Randolph, NC",2,2012,1319,127267,10.36,22701,58.1,3294.09,26.21,38.58,35.7103,-79.806,38.8,61.3,31594,3794233,-10.36,37.27,29.81317231,0.178373027,0.098956944,2,13.6,4.618645852
11200,"Randolph County, NC, 2012","Randolph County, NC","Randolph, NC",1,2012,315,15199,20.73,3484,90.41,3307.91,27.63,38.96,35.7103,-79.806,38.8,61.3,31594,3794233,-20.73,26.9,249.6370156,0.229225607,0.098956944,2,13.6,4.618645852
3588,"Durham County, NC, 2019","Durham County, NC","Durham, NC",1,2019,975,43928,22.2,9873,98.75,3258.38,28.22,38.65,36.036,-78.8766,45.27,60.8,52438,32874240,-22.2,25.43,748.3664178,0.224754143,0.088053053,2,50.7,4.619711521
3589,"Durham County, NC, 2019","Durham County, NC","Durham, NC",2,2019,3177,277560,11.45,65322,48.64,3224.24,30.3,38.67,36.036,-78.8766,45.27,60.8,52438,32874240,-11.45,36.18,118.4401211,0.235343709,0.088053053,2,50.7,4.619711521
3590,"Durham County, NC, 2019","Durham County, NC","Durham, NC",3,2019,NA,NA,NA,NA,NA,3203.5,33.17,37.33,36.036,-78.8766,45.27,60.8,52438,32874240,NA,NA,NA,NA,0.088053053,2,50.7,4.619711521
9829,"Ocean County, NJ, 2012","Ocean County, NJ","Ocean, NJ",3,2012,25,NA,NA,NA,NA,3080.4,29.2,38.08,39.8855,-74.2813,42.36,56.6,42786,18819265,NA,NA,NA,NA,0.155124296,1,25,4.622927264
9830,"Ocean County, NJ, 2012","Ocean County, NJ","Ocean, NJ",2,2012,7002,530086,13.21,83881,83.48,3348.94,29.12,39.13,39.8855,-74.2813,42.36,56.6,42786,18819265,-13.21,34.42,35.50228642,0.158240361,0.155124296,1,25,4.622927264
9831,"Ocean County, NJ, 2012","Ocean County, NJ","Ocean, NJ",1,2012,987,50384,19.59,11050,89.32,3304.62,27.27,38.76,39.8855,-74.2813,42.36,56.6,42786,18819265,-19.59,28.04,373.5166918,0.219315656,0.155124296,1,25,4.622927264
6032,"Jackson County, MI, 2020","Jackson County, MI","Jackson, MI",2,2020,1627,150982,10.78,25685,63.34,3307.88,27.95,38.72,42.2485,-84.4234,35.61,49.4,44152,5871461,-10.78,36.85,38.8884834,0.170119617,0.125025491,3,22.6,4.623085303
6033,"Jackson County, MI, 2020","Jackson County, MI","Jackson, MI",3,2020,11,NA,NA,NA,NA,3437.64,27,40.27,42.2485,-84.4234,35.61,49.4,44152,5871461,NA,NA,NA,NA,0.125025491,3,22.6,4.623085303
6034,"Jackson County, MI, 2020","Jackson County, MI","Jackson, MI",1,2020,66,5938,11.11,1278,51.64,3403.52,26.03,38.88,42.2485,-84.4234,35.61,49.4,44152,5871461,-11.11,36.52,988.7943752,0.215223981,0.125025491,3,22.6,4.623085303
5286,"Henry County, GA, 2018","Henry County, GA","Henry, GA",2,2018,2432,213727,11.38,45076,53.95,3157.08,28.66,38.34,33.453,-84.1542,65.59,63.6,39134,5803664,-11.38,36.25,27.15456634,0.210904565,0.074363652,1,28.2,4.62309429
5287,"Henry County, GA, 2018","Henry County, GA","Henry, GA",1,2018,247,16493,14.98,3810,64.83,3166.45,28.15,38.25,33.453,-84.1542,65.59,63.6,39134,5803664,-14.98,32.65,351.8864973,0.231007094,0.074363652,1,28.2,4.62309429
5288,"Henry County, GA, 2018","Henry County, GA","Henry, GA",3,2018,26,NA,NA,NA,NA,3173.08,31.92,38.42,33.453,-84.1542,65.59,63.6,39134,5803664,NA,NA,NA,NA,0.074363652,1,28.2,4.62309429
229,"Allegan County, MI, 2020","Allegan County, MI","Allegan, MI",2,2020,1072,109802,9.76,18934,56.62,3360.94,28.49,38.76,42.5913,-85.8884,37.21,49.9,50402,4033931,-9.76,37.87,36.73822881,0.172437661,0.113430928,4,23.7,4.623156912
230,"Allegan County, MI, 2020","Allegan County, MI","Allegan, MI",1,2020,124,9125,13.59,2072,59.85,3332.24,27.39,38.6,42.5913,-85.8884,37.21,49.9,50402,4033931,-13.59,34.04,442.0746301,0.227068493,0.113430928,4,23.7,4.623156912
231,"Allegan County, MI, 2020","Allegan County, MI","Allegan, MI",3,2020,NA,NA,NA,NA,NA,3204,32,37,42.5913,-85.8884,37.21,49.9,50402,4033931,NA,NA,NA,NA,0.113430928,4,23.7,4.623156912
7756,"Madera County, CA, 2011","Madera County, CA","Madera, CA",3,2011,16,NA,NA,NA,NA,3679,28.88,38.44,37.2181,-119.7626,20.05,54.8,29466,4901149,NA,NA,NA,NA,0.077887854,3,13.9,4.623181298
7757,"Madera County, CA, 2011","Madera County, CA","Madera, CA",2,2011,616,69595,8.85,13195,46.68,3331.47,27.68,38.69,37.2181,-119.7626,20.05,54.8,29466,4901149,-8.85,38.78,70.42386666,0.189596954,0.077887854,3,13.9,4.623181298
7758,"Madera County, CA, 2011","Madera County, CA","Madera, CA",1,2011,1769,83330,21.23,20035,88.3,3292.41,26.69,38.71,37.2181,-119.7626,20.05,54.8,29466,4901149,-21.23,26.4,58.81614065,0.240429617,0.077887854,3,13.9,4.623181298
6598,"Kane County, IL, 2019","Kane County, IL","Kane, IL",2,2019,3352,360042,9.31,62426,53.7,3292.15,30.97,38.48,41.9388,-88.4286,50.15,48.1,54489,25126179,-9.31,38.32,69.78679987,0.173385327,0.094097892,1,36,4.624777874
6599,"Kane County, IL, 2019","Kane County, IL","Kane, IL",1,2019,2617,172361,15.18,39239,66.69,3279.15,28.1,38.53,41.9388,-88.4286,50.15,48.1,54489,25126179,-15.18,32.45,145.776475,0.227655908,0.094097892,1,36,4.624777874
6600,"Kane County, IL, 2019","Kane County, IL","Kane, IL",3,2019,NA,NA,NA,NA,NA,2947.14,31.57,37.86,41.9388,-88.4286,50.15,48.1,54489,25126179,NA,NA,NA,NA,0.094097892,1,36,4.624777874
12027,"Sandoval County, NM, 2014","Sandoval County, NM","Sandoval, NM",1,2014,628,51467,12.2,11441,54.89,3140.36,27.22,38.41,35.6886,-106.8659,10.86,51.5,37834,3297388,-12.2,35.43,64.06800474,0.222297783,NA,2,28.1,4.624938749
12028,"Sandoval County, NM, 2014","Sandoval County, NM","Sandoval, NM",3,2014,49,NA,NA,NA,NA,3208.51,29.1,38.49,35.6886,-106.8659,10.86,51.5,37834,3297388,NA,NA,NA,NA,NA,2,28.1,4.624938749
12029,"Sandoval County, NM, 2014","Sandoval County, NM","Sandoval, NM",2,2014,822,86141,9.54,14260,57.64,3217.82,28.45,38.68,35.6886,-106.8659,10.86,51.5,37834,3297388,-9.54,38.09,38.27896124,0.165542541,NA,2,28.1,4.624938749
6416,"Johnson County, KS, 2009","Johnson County, KS","Johnson, KS",3,2009,NA,NA,NA,NA,NA,3451.75,28,39,38.8838,-94.8223,43.43,53.7,56040,37050028,NA,NA,NA,NA,0.149956618,1,51.6,4.626506022
6417,"Johnson County, KS, 2009","Johnson County, KS","Johnson, KS",2,2009,6782,502019,13.51,101518,66.81,3349.58,29.59,38.59,38.8838,-94.8223,43.43,53.7,56040,37050028,-13.51,34.12,73.80204335,0.202219438,0.149956618,1,51.6,4.626506022
6418,"Johnson County, KS, 2009","Johnson County, KS","Johnson, KS",1,2009,786,37377,21.03,8894,88.37,3386.84,27.56,38.86,38.8838,-94.8223,43.43,53.7,56040,37050028,-21.03,26.6,991.2520534,0.237953822,0.149956618,1,51.6,4.626506022
2774,"Contra Costa County, CA, 2003","Contra Costa County, CA","Contra Costa, CA",1,2003,4073,198557,20.51,47702,85.38,3406.91,26.84,39.09,37.9191,-121.9277,16.01,60.5,47064,68037682,-20.51,27.12,342.660707,0.240243356,0.164950771,1,35,4.627586207
2775,"Contra Costa County, CA, 2003","Contra Costa County, CA","Contra Costa, CA",2,2003,8276,788974,10.49,158175,52.32,3357.59,30.61,38.89,37.9191,-121.9277,16.01,60.5,47064,68037682,-10.49,37.14,86.23564528,0.200481892,0.164950771,1,35,4.627586207
2776,"Contra Costa County, CA, 2003","Contra Costa County, CA","Contra Costa, CA",3,2003,864,NA,NA,NA,NA,3414.83,29.56,39.19,37.9191,-121.9277,16.01,60.5,47064,68037682,NA,NA,NA,NA,0.164950771,1,35,4.627586207
12799,"Solano County, CA, 2003","Solano County, CA","Solano, CA",1,2003,1820,81215,22.41,18806,96.78,3419.66,26.54,39.15,38.27,-121.9329,17.6,61.5,32091,15822315,-22.41,25.22,194.8201071,0.23155821,0.13997243,2,21.4,4.627586207
12800,"Solano County, CA, 2003","Solano County, CA","Solano, CA",2,2003,3956,327194,12.09,67787,58.36,3330.51,28.12,38.93,38.27,-121.9329,17.6,61.5,32091,15822315,-12.09,35.54,48.35759519,0.207176782,0.13997243,2,21.4,4.627586207
12801,"Solano County, CA, 2003","Solano County, CA","Solano, CA",3,2003,44,NA,NA,NA,NA,3168.91,30.89,38.2,38.27,-121.9329,17.6,61.5,32091,15822315,NA,NA,NA,NA,0.13997243,2,21.4,4.627586207
2198,"Charlotte County, FL, 2019","Charlotte County, FL","Charlotte, FL",3,2019,NA,NA,NA,NA,NA,3969.5,29,40,26.9055,-81.9123,55.01,75.8,46707,5132804,NA,NA,NA,NA,0.302604415,3,24.5,4.62849962
2199,"Charlotte County, FL, 2019","Charlotte County, FL","Charlotte, FL",2,2019,834,174319,4.78,17192,48.51,3271.48,28.29,38.77,26.9055,-81.9123,55.01,75.8,46707,5132804,-4.78,42.85,29.44489126,0.098623787,0.302604415,3,24.5,4.62849962
2200,"Charlotte County, FL, 2019","Charlotte County, FL","Charlotte, FL",1,2019,115,14591,7.88,2859,40.22,3299.95,27.59,38.8,26.9055,-81.9123,55.01,75.8,46707,5132804,-7.88,39.75,351.7787677,0.195942704,0.302604415,3,24.5,4.62849962
4793,"Hamilton County, IN, 2005","Hamilton County, IN","Hamilton, IN",2,2005,3565,228648,15.59,50255,70.94,3338,30.28,38.5,40.0725,-86.052,45.8,52.2,48125,11399530,-15.59,32.04,49.85624191,0.219791995,0.10423802,1,48.9,4.629113927
4794,"Hamilton County, IN, 2005","Hamilton County, IN","Hamilton, IN",1,2005,129,6391,20.18,1461,88.3,3293.4,28.17,38.73,40.0725,-86.052,45.8,52.2,48125,11399530,-20.18,27.45,1783.684869,0.228602723,0.10423802,1,48.9,4.629113927
5169,"Hendricks County, IN, 2013","Hendricks County, IN","Hendricks, IN",3,2013,NA,NA,NA,NA,NA,3550,40,38,39.7695,-86.51,48.64,50.4,41845,4879233,NA,NA,NA,NA,0.076001274,1,32,4.629487796
5170,"Hendricks County, IN, 2013","Hendricks County, IN","Hendricks, IN",1,2013,68,5283,12.87,1164,58.42,3292.59,27.72,38.54,39.7695,-86.51,48.64,50.4,41845,4879233,-12.87,34.76,923.572402,0.220329358,0.076001274,1,32,4.629487796
5171,"Hendricks County, IN, 2013","Hendricks County, IN","Hendricks, IN",2,2013,1653,148596,11.12,28828,57.34,3368.73,28.97,38.62,39.7695,-86.51,48.64,50.4,41845,4879233,-11.12,36.51,32.83556085,0.19400253,0.076001274,1,32,4.629487796
9284,"Morris County, NJ, 2010","Morris County, NJ","Morris, NJ",3,2010,11,NA,NA,NA,NA,3255.64,33.18,37.73,40.862,-74.5445,49.27,52.4,74035,49222988,NA,NA,NA,NA,0.192014236,1,49,4.631548156
9285,"Morris County, NJ, 2010","Morris County, NJ","Morris, NJ",2,2010,4028,435794,9.24,76418,52.71,3309.68,32.42,38.73,40.862,-74.5445,49.27,52.4,74035,49222988,-9.24,38.39,112.9501278,0.175353493,0.192014236,1,49,4.631548156
9286,"Morris County, NJ, 2010","Morris County, NJ","Morris, NJ",1,2010,813,56482,14.39,13591,59.82,3303.94,29.26,38.67,40.862,-74.5445,49.27,52.4,74035,49222988,-14.39,33.24,871.4809674,0.240625332,0.192014236,1,49,4.631548156
8034,"Maricopa County, AZ, 2019","Maricopa County, AZ","Maricopa, AZ",2,2019,29383,3076559,9.55,571657,51.4,3296.62,29.74,38.62,33.349,-112.4915,12.45,70.5,52032,233321462,-9.55,38.08,75.83844873,0.185810511,0.10784378,1,34.4,4.631702157
8035,"Maricopa County, AZ, 2019","Maricopa County, AZ","Maricopa, AZ",3,2019,252,NA,NA,NA,NA,3100.99,29.67,38.08,33.349,-112.4915,12.45,70.5,52032,233321462,NA,NA,NA,NA,0.10784378,1,34.4,4.631702157
8036,"Maricopa County, AZ, 2019","Maricopa County, AZ","Maricopa, AZ",1,2019,21530,1408855,15.28,334155,64.43,3278.17,27.46,38.54,33.349,-112.4915,12.45,70.5,52032,233321462,-15.28,32.35,165.6106995,0.237181967,0.10784378,1,34.4,4.631702157
13366,"St. Lucie County, FL, 2017","St. Lucie County, FL","St. Lucie, FL",3,2017,NA,NA,NA,NA,NA,3076.22,24.56,38.22,27.3772,-80.472,62.62,75.7,39728,8428741,NA,NA,NA,NA,0.168507142,2,24.2,4.631752477
13367,"St. Lucie County, FL, 2017","St. Lucie County, FL","St. Lucie, FL",2,2017,2291,253880,9.02,39557,57.92,3250.34,28.6,38.56,27.3772,-80.472,62.62,75.7,39728,8428741,-9.02,38.61,33.19970458,0.155809831,0.168507142,2,24.2,4.631752477
13368,"St. Lucie County, FL, 2017","St. Lucie County, FL","St. Lucie, FL",1,2017,719,59626,12.06,12515,57.45,3281.03,28.12,38.8,27.3772,-80.472,62.62,75.7,39728,8428741,-12.06,35.57,141.3601617,0.209891658,0.168507142,2,24.2,4.631752477
12876,"Somerset County, NJ, 2012","Somerset County, NJ","Somerset, NJ",3,2012,15,NA,NA,NA,NA,2917.27,31.2,36.6,40.5635,-74.6163,41.99,55.4,74336,28997256,NA,NA,NA,NA,0.090376464,1,50.6,4.632306347
12877,"Somerset County, NJ, 2012","Somerset County, NJ","Somerset, NJ",2,2012,2677,283327,9.45,50066,53.47,3254.97,32.11,38.67,40.5635,-74.6163,41.99,55.4,74336,28997256,-9.45,38.18,102.3455442,0.176707479,0.090376464,1,50.6,4.632306347
12878,"Somerset County, NJ, 2012","Somerset County, NJ","Somerset, NJ",1,2012,739,44380,16.65,10305,71.71,3270.7,29.16,38.71,40.5635,-74.6163,41.99,55.4,74336,28997256,-16.65,30.98,653.3856692,0.232199189,0.090376464,1,50.6,4.632306347
8725,"Middlesex County, MA, 2011","Middlesex County, MA","Middlesex, MA",3,2011,106,NA,NA,NA,NA,3311.84,32.43,38.34,42.4856,-71.3918,59.21,50.2,63530,131070084,NA,NA,NA,NA,0.093230604,1,50.2,4.632630315
8726,"Middlesex County, MA, 2011","Middlesex County, MA","Middlesex, MA",2,2011,15068,1415113,10.65,290283,51.91,3331.24,31.6,38.86,42.4856,-71.3918,59.21,50.2,63530,131070084,-10.65,36.98,92.62163799,0.205130615,0.093230604,1,50.2,4.632630315
8727,"Middlesex County, MA, 2011","Middlesex County, MA","Middlesex, MA",1,2011,2394,103058,23.23,26596,90.01,3285.44,28.78,38.69,42.4856,-71.3918,59.21,50.2,63530,131070084,-23.23,24.4,1271.808923,0.258068272,0.093230604,1,50.2,4.632630315
3169,"Davidson County, NC, 2018","Davidson County, NC","Davidson, NC",1,2018,192,12182,15.76,2620,73.28,3212.55,27.89,38.54,35.7933,-80.2128,61.25,59.7,39015,4282134,-15.76,31.87,351.5132162,0.215071417,0.124383305,2,19.3,4.632736673
3170,"Davidson County, NC, 2018","Davidson County, NC","Davidson, NC",2,2018,1559,154432,10.1,26675,58.44,3228.97,27.35,38.74,35.7933,-80.2128,61.25,59.7,39015,4282134,-10.1,37.53,27.7282817,0.172729745,0.124383305,2,19.3,4.632736673
3171,"Davidson County, NC, 2018","Davidson County, NC","Davidson, NC",3,2018,NA,NA,NA,NA,NA,0,0,0,35.7933,-80.2128,61.25,59.7,39015,4282134,NA,NA,NA,NA,0.124383305,2,19.3,4.632736673
8386,"Mecklenburg County, NC, 2017","Mecklenburg County, NC","Mecklenburg, NC",3,2017,11,NA,NA,NA,NA,3263,34,38.7,35.2467,-80.8328,44.92,62.2,58946,98480577,NA,NA,NA,NA,0.069458052,1,46.9,4.632759899
8387,"Mecklenburg County, NC, 2017","Mecklenburg County, NC","Mecklenburg, NC",2,2017,11812,933437,12.65,212437,55.6,3218.95,30,38.65,35.2467,-80.8328,44.92,62.2,58946,98480577,-12.65,34.98,105.5031855,0.227585793,0.069458052,1,46.9,4.632759899
8388,"Mecklenburg County, NC, 2017","Mecklenburg County, NC","Mecklenburg, NC",1,2017,2930,143400,20.43,33350,87.86,3265.88,28.35,38.67,35.2467,-80.8328,44.92,62.2,58946,98480577,-20.43,27.2,686.7543724,0.232566248,0.069458052,1,46.9,4.632759899
1348,"Bristol County, MA, 2014","Bristol County, MA","Bristol, MA",2,2014,4791,515694,9.29,98235,48.77,3305.7,29.21,38.88,41.7972,-71.1144,50.63,50.2,45185,22327032,-9.29,38.34,43.29511687,0.190490872,0.106201078,1,25.2,4.63375641
1349,"Bristol County, MA, 2014","Bristol County, MA","Bristol, MA",3,2014,53,NA,NA,NA,NA,3190.9,28.81,38.39,41.7972,-71.1144,50.63,50.2,45185,22327032,NA,NA,NA,NA,0.106201078,1,25.2,4.63375641
1350,"Bristol County, MA, 2014","Bristol County, MA","Bristol, MA",1,2014,733,38500,19.04,9081,80.72,3195.68,26.34,38.56,41.7972,-71.1144,50.63,50.2,45185,22327032,-19.04,28.59,579.9229091,0.23587013,0.106201078,1,25.2,4.63375641
13859,"Tulare County, CA, 2014","Tulare County, CA","Tulare, CA",3,2014,21,NA,NA,NA,NA,3303.48,30.43,38.67,36.2202,-118.8005,14.47,57.6,35110,15191202,NA,NA,NA,NA,0.068175767,2,13.3,4.6358516
13860,"Tulare County, CA, 2014","Tulare County, CA","Tulare, CA",2,2014,2119,169891,12.47,30001,70.63,3339.9,27.64,38.75,36.2202,-118.8005,14.47,57.6,35110,15191202,-12.47,35.16,89.41734406,0.176589696,0.068175767,2,13.3,4.6358516
13861,"Tulare County, CA, 2014","Tulare County, CA","Tulare, CA",1,2014,5500,288307,19.08,64628,85.1,3314.98,26.86,38.66,36.2202,-118.8005,14.47,57.6,35110,15191202,-19.08,28.55,52.69106196,0.224163825,0.068175767,2,13.3,4.6358516
5755,"Hunterdon County, NJ, 2014","Hunterdon County, NJ","Hunterdon, NJ",3,2014,NA,NA,NA,NA,NA,3850,34.5,39.5,40.5673,-74.9122,48.16,50.1,77805,7118129,NA,NA,NA,NA,0.104047848,1,48.1,4.636190185
5756,"Hunterdon County, NJ, 2014","Hunterdon County, NJ","Hunterdon, NJ",2,2014,791,118288,6.69,18542,42.66,3341.75,32.23,38.77,40.5673,-74.9122,48.16,50.1,77805,7118129,-6.69,40.94,60.17625626,0.15675301,0.104047848,1,48.1,4.636190185
5757,"Hunterdon County, NJ, 2014","Hunterdon County, NJ","Hunterdon, NJ",1,2014,123,7779,15.81,1717,71.64,3279.89,28.97,38.89,40.5673,-74.9122,48.16,50.1,77805,7118129,-15.81,31.82,915.0442216,0.220722458,0.104047848,1,48.1,4.636190185
5178,"Hendricks County, IN, 2016","Hendricks County, IN","Hendricks, IN",2,2016,1689,154567,10.93,29543,57.17,3332.83,29.51,38.64,39.7695,-86.51,42.08,53.7,46696,5659286,-10.93,36.7,36.61380502,0.191133942,0.082690991,1,39.5,4.637083025
5179,"Hendricks County, IN, 2016","Hendricks County, IN","Hendricks, IN",3,2016,NA,NA,NA,NA,NA,0,0,0,39.7695,-86.51,42.08,53.7,46696,5659286,NA,NA,NA,NA,0.082690991,1,39.5,4.637083025
5180,"Hendricks County, IN, 2016","Hendricks County, IN","Hendricks, IN",1,2016,71,6043,11.75,1427,49.75,3276.11,28.17,38.66,39.7695,-86.51,42.08,53.7,46696,5659286,-11.75,35.88,936.5027304,0.23614099,0.082690991,1,39.5,4.637083025
7777,"Madera County, CA, 2018","Madera County, CA","Madera, CA",3,2018,22,NA,NA,NA,NA,3141.36,31.82,38.14,37.2181,-119.7626,20.72,57.7,37570,5988270,NA,NA,NA,NA,0.090986351,3,16.4,4.638612503
7778,"Madera County, CA, 2018","Madera County, CA","Madera, CA",2,2018,538,65733,8.18,12220,44.03,3259.63,28.95,38.58,37.2181,-119.7626,20.72,57.7,37570,5988270,-8.18,39.45,91.09990416,0.18590358,0.090986351,3,16.4,4.638612503
7779,"Madera County, CA, 2018","Madera County, CA","Madera, CA",1,2018,1519,91939,16.52,21229,71.55,3314.5,27.92,38.62,37.2181,-119.7626,20.72,57.7,37570,5988270,-16.52,31.11,65.13307737,0.230903099,0.090986351,3,16.4,4.638612503
477,"Arapahoe County, CO, 2020","Arapahoe County, CO","Arapahoe, CO",2,2020,5134,525792,9.76,104689,49.04,3162.4,30.74,38.54,39.6498,-104.3392,10.32,50.9,68630,43489732,-9.76,37.87,82.71280659,0.199107252,0.090453752,1,44.5,4.639055813
478,"Arapahoe County, CO, 2020","Arapahoe County, CO","Arapahoe, CO",1,2020,2110,131660,16.03,31790,66.37,3177.52,28.12,38.65,39.6498,-104.3392,10.32,50.9,68630,43489732,-16.03,31.6,330.318487,0.241455264,0.090453752,1,44.5,4.639055813
479,"Arapahoe County, CO, 2020","Arapahoe County, CO","Arapahoe, CO",3,2020,63,NA,NA,NA,NA,3157.66,30.67,38.43,39.6498,-104.3392,10.32,50.9,68630,43489732,NA,NA,NA,NA,0.090453752,1,44.5,4.639055813
2762,"Columbia County, GA, 2017","Columbia County, GA","Columbia, GA",3,2017,22,NA,NA,NA,NA,3417.05,31.09,37.77,33.5441,-82.2641,44.43,65.7,49091,3521769,NA,NA,NA,NA,0.082135388,2,37.5,4.639381948
2763,"Columbia County, GA, 2017","Columbia County, GA","Columbia, GA",1,2017,126,10113,12.46,2538,49.65,3308.34,29.45,38.79,33.5441,-82.2641,44.43,65.7,49091,3521769,-12.46,35.17,348.241768,0.250964106,0.082135388,2,37.5,4.639381948
2764,"Columbia County, GA, 2017","Columbia County, GA","Columbia, GA",2,2017,1518,141466,10.73,28177,53.87,3299.18,29.43,38.81,33.5441,-82.2641,44.43,65.7,49091,3521769,-10.73,36.9,24.89480865,0.199178601,0.082135388,2,37.5,4.639381948
614,"Baltimore County, MD, 2009","Baltimore County, MD","Baltimore, MD",2,2009,9271,769494,12.05,157914,58.71,3243.61,28.59,38.51,39.4627,-76.6393,55.29,54,47886,43450361,-12.05,35.58,56.46614658,0.205217974,0.213046016,1,35.3,4.639999998
615,"Baltimore County, MD, 2009","Baltimore County, MD","Baltimore, MD",2,2009,9271,769494,12.05,157914,58.71,3243.61,28.59,38.51,39.4627,-76.6393,55.29,54,47886,43450361,-12.05,35.58,56.46614658,0.205217974,0.213046016,1,35.3,4.639999998
616,"Baltimore County, MD, 2009","Baltimore County, MD","Baltimore, MD",3,2009,21,NA,NA,NA,NA,2982.76,27.62,37.14,39.4627,-76.6393,55.29,54,47886,43450361,NA,NA,NA,NA,0.213046016,1,35.3,4.639999998
617,"Baltimore County, MD, 2009","Baltimore County, MD","Baltimore, MD",3,2009,21,NA,NA,NA,NA,2982.76,27.62,37.14,39.4627,-76.6393,55.29,54,47886,43450361,NA,NA,NA,NA,0.213046016,1,35.3,4.639999998
618,"Baltimore County, MD, 2009","Baltimore County, MD","Baltimore, MD",1,2009,729,32314,22.56,8005,91.07,3284.44,27.58,38.74,39.4627,-76.6393,55.29,54,47886,43450361,-22.56,25.07,1344.629603,0.247725444,0.213046016,1,35.3,4.639999998
619,"Baltimore County, MD, 2009","Baltimore County, MD","Baltimore, MD",1,2009,729,32314,22.56,8005,91.07,3284.44,27.58,38.74,39.4627,-76.6393,55.29,54,47886,43450361,-22.56,25.07,1344.629603,0.247725444,0.213046016,1,35.3,4.639999998
1916,"Carroll County, MD, 2009","Carroll County, MD","Carroll, MD",1,2009,80,4242,18.86,891,89.79,3278.89,27.14,38.56,39.5629,-77.0225,49.1,52.6,46740,5075273,-18.86,28.77,1196.433993,0.210042433,0.173946883,1,31.9,4.639999998
1917,"Carroll County, MD, 2009","Carroll County, MD","Carroll, MD",3,2009,NA,NA,NA,NA,NA,3401.67,29.33,38.67,39.5629,-77.0225,49.1,52.6,46740,5075273,NA,NA,NA,NA,0.173946883,1,31.9,4.639999998
1918,"Carroll County, MD, 2009","Carroll County, MD","Carroll, MD",2,2009,1607,162786,9.87,29952,53.65,3336.41,29.03,38.65,39.5629,-77.0225,49.1,52.6,46740,5075273,-9.87,37.76,31.1775767,0.183996167,0.173946883,1,31.9,4.639999998
4972,"Harford County, MD, 2009","Harford County, MD","Harford, MD",3,2009,NA,NA,NA,NA,NA,3657,28.5,38.75,39.5611,-76.3171,54.75,54.3,45057,9633117,NA,NA,NA,NA,0.162874202,1,31.5,4.639999998
4973,"Harford County, MD, 2009","Harford County, MD","Harford, MD",2,2009,2696,235324,11.46,45602,59.12,3319.33,28.75,38.69,39.5611,-76.3171,54.75,54.3,45057,9633117,-11.46,36.17,40.93554844,0.193783889,0.162874202,1,31.5,4.639999998
4974,"Harford County, MD, 2009","Harford County, MD","Harford, MD",1,2009,116,8361,13.87,1859,62.4,3277.95,28.3,38.67,39.5611,-76.3171,54.75,54.3,45057,9633117,-13.87,33.76,1152.148906,0.222341825,0.162874202,1,31.5,4.639999998
181,"Alameda County, CA, 2013","Alameda County, CA","Alameda, CA",3,2013,711,NA,NA,NA,NA,3195.35,31.79,38.52,37.6469,-121.8888,5.08,59.5,54477,98669945,NA,NA,NA,NA,0.079543173,1,41.1,4.640642682
182,"Alameda County, CA, 2013","Alameda County, CA","Alameda, CA",2,2013,13235,1220884,10.84,257706,51.36,3263.98,31.34,38.83,37.6469,-121.8888,5.08,59.5,54477,98669945,-10.84,36.79,80.81844385,0.211081479,0.079543173,1,41.1,4.640642682
183,"Alameda County, CA, 2013","Alameda County, CA","Alameda, CA",1,2013,5311,358007,14.83,85533,62.09,3348.81,28.55,38.87,37.6469,-121.8888,5.08,59.5,54477,98669945,-14.83,32.8,275.6089825,0.238914323,0.079543173,1,41.1,4.640642682
11192,"Randolph County, NC, 2010","Randolph County, NC","Randolph, NC",3,2010,NA,NA,NA,NA,NA,0,0,0,35.7103,-79.806,40.48,59.6,29649,3971266,NA,NA,NA,NA,0.187552909,2,13.6,4.641909814
11193,"Randolph County, NC, 2010","Randolph County, NC","Randolph, NC",2,2010,1351,127054,10.63,23309,57.96,3279.74,26.32,38.58,35.7103,-79.806,40.48,59.6,29649,3971266,-10.63,37,31.25652085,0.183457428,0.187552909,2,13.6,4.641909814
11194,"Randolph County, NC, 2010","Randolph County, NC","Randolph, NC",1,2010,324,14698,22.04,3489,92.86,3301.8,27.18,38.89,35.7103,-79.806,40.48,59.6,29649,3971266,-22.04,25.59,270.1909103,0.237379235,0.187552909,2,13.6,4.641909814
5322,"Hernando County, FL, 2013","Hernando County, FL","Hernando, FL",3,2013,10,NA,NA,NA,NA,3183.8,26.9,38.7,28.5535,-82.4245,50.86,72.5,31917,3314668,NA,NA,NA,NA,0.193199993,1,15.7,4.644974363
5323,"Hernando County, FL, 2013","Hernando County, FL","Hernando, FL",2,2013,1292,155011,8.33,22902,56.41,3235.69,27.09,38.74,28.5535,-82.4245,50.86,72.5,31917,3314668,-8.33,39.3,21.3834373,0.147744354,0.193199993,1,15.7,4.644974363
